item,heapify,push,peek,pop,remove_first_peek,remove_499,remove_483,remove_2,remove_937,remove_679,remove_517,remove_6,remove_14,remove_100,remove_650
957, 999, 999, 999, 999, 998, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999
447, 997, 997, 998, 998, 997, 997, 997, 997, 997, 997, 997, 997, 997, 997, 997
617, 998, 998, 997, 997, 996, 998, 998, 998, 998, 998, 998, 998, 998, 998, 998
773, 990, 990, 996, 996, 995, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990
157, 994, 994, 995, 995, 994, 994, 994, 994, 994, 994, 994, 994, 994, 994, 994
570, 995, 995, 994, 994, 993, 995, 995, 995, 995, 995, 995, 995, 995, 995, 995
909, 996, 996, 993, 993, 992, 996, 996, 996, 996, 996, 996, 996, 996, 996, 996
573, 984, 984, 992, 992, 991, 984, 984, 984, 984, 984, 984, 984, 984, 984, 984
8, 989, 989, 991, 991, 990, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989
851, 975, 975, 990, 990, 989, 975, 975, 975, 975, 975, 975, 975, 975, 975, 975
10, 991, 991, 989, 989, 988, 991, 991, 991, 991, 991, 991, 991, 991, 991, 991
103, 964, 964, 988, 988, 987, 964, 964, 964, 964, 964, 964, 964, 964, 964, 964
306, 993, 993, 987, 987, 986, 993, 993, 993, 993, 993, 993, 993, 993, 993, 993
775, 992, 992, 986, 986, 985, 992, 992, 992, 992, 992, 992, 992, 992, 992, 992
506, 988, 988, 985, 985, 984, 988, 988, 988, 988, 988, 988, 988, 988, 988, 988
906, 980, 980, 984, 984, 983, 980, 980, 980, 980, 980, 980, 980, 980, 980, 980
557, 978, 978, 983, 983, 982, 978, 978, 978, 978, 978, 978, 978, 978, 978, 978
791, 955, 955, 982, 982, 981, 955, 955, 955, 981, 955, 955, 955, 955, 955, 955
43, 985, 985, 981, 981, 980, 985, 985, 985, 985, 985, 985, 985, 985, 985, 985
736, 954, 954, 980, 980, 979, 954, 954, 954, 954, 954, 954, 954, 954, 954, 954
897, 968, 968, 979, 979, 978, 968, 968, 968, 968, 968, 968, 968, 968, 968, 968
738, 971, 971, 978, 978, 977, 971, 971, 971, 971, 971, 971, 971, 971, 971, 971
772, 974, 974, 977, 977, 976, 974, 974, 974, 974, 974, 974, 974, 974, 974, 974
873, 937, 937, 976, 976, 975, 937, 937, 937, 951, 937, 937, 937, 937, 937, 937
780, 951, 951, 975, 975, 974, 951, 951, 951, 962, 951, 951, 951, 951, 951, 951
547, 962, 962, 974, 974, 973, 962, 962, 962, 976, 962, 962, 962, 962, 962, 962
812, 976, 976, 973, 973, 972, 976, 976, 976, 973, 976, 976, 976, 976, 976, 976
890, 973, 973, 972, 972, 971, 973, 973, 973, 986, 973, 973, 973, 973, 973, 973
603, 986, 986, 971, 971, 970, 986, 986, 986, 987, 986, 986, 986, 986, 986, 986
88, 987, 987, 970, 970, 969, 987, 987, 987, 982, 987, 987, 987, 987, 987, 987
880, 947, 947, 969, 969, 968, 947, 947, 947, 939, 947, 947, 947, 947, 947, 947
548, 939, 939, 968, 968, 967, 939, 939, 939, 940, 939, 939, 939, 939, 939, 939
221, 940, 940, 967, 967, 966, 940, 940, 940, 868, 940, 940, 940, 940, 940, 940
879, 858, 858, 966, 966, 965, 858, 858, 858, 932, 858, 858, 858, 858, 858, 858
372, 932, 932, 965, 965, 964, 932, 932, 932, 908, 932, 932, 932, 932, 932, 932
35, 887, 887, 964, 964, 963, 887, 887, 887, 910, 887, 887, 887, 887, 887, 887
24, 910, 910, 963, 963, 962, 910, 910, 910, 955, 910, 910, 910, 910, 910, 910
704, 981, 981, 962, 962, 961, 981, 981, 981, 983, 981, 981, 981, 981, 981, 981
693, 983, 983, 961, 961, 960, 983, 983, 983, 945, 983, 983, 983, 983, 983, 983
642, 938, 938, 960, 960, 959, 938, 938, 938, 928, 938, 938, 938, 938, 938, 938
3, 897, 897, 959, 959, 958, 897, 897, 897, 919, 897, 897, 897, 897, 897, 897
689, 919, 919, 958, 958, 957, 919, 919, 919, 960, 919, 919, 919, 919, 919, 919
848, 960, 960, 957, 957, 956, 960, 960, 960, 935, 960, 960, 960, 960, 960, 960
755, 914, 914, 956, 956, 955, 914, 914, 914, 946, 914, 914, 914, 914, 914, 914
91, 946, 946, 955, 955, 954, 946, 946, 946, 963, 946, 946, 946, 946, 946, 946
335, 963, 963, 954, 954, 953, 963, 963, 963, 929, 963, 963, 963, 963, 963, 963
809, 906, 906, 953, 953, 952, 906, 906, 906, 925, 906, 906, 906, 906, 906, 906
675, 925, 925, 952, 952, 951, 925, 925, 925, 936, 925, 925, 925, 925, 925, 925
985, 936, 936, 951, 951, 950, 936, 936, 936, 927, 936, 936, 936, 936, 936, 936
156, 874, 874, 950, 950, 949, 874, 874, 874, 942, 874, 874, 874, 874, 874, 874
730, 942, 942, 949, 949, 948, 942, 942, 942, 921, 942, 942, 942, 942, 942, 942
51, 921, 921, 948, 948, 947, 921, 921, 921, 948, 921, 921, 921, 921, 921, 921
300, 948, 948, 947, 947, 946, 948, 948, 948, 959, 948, 948, 948, 948, 948, 948
864, 959, 959, 946, 946, 945, 959, 959, 959, 961, 959, 959, 959, 959, 959, 959
452, 961, 961, 945, 945, 944, 961, 961, 961, 957, 961, 961, 961, 961, 961, 961
220, 957, 957, 944, 944, 943, 957, 957, 957, 967, 957, 957, 957, 957, 957, 957
591, 967, 967, 943, 943, 942, 967, 967, 967, 949, 967, 967, 967, 967, 967, 967
973, 915, 915, 942, 942, 941, 915, 915, 915, 958, 915, 915, 915, 915, 915, 915
862, 958, 958, 941, 941, 940, 958, 958, 958, 970, 958, 958, 958, 958, 958, 958
59, 970, 970, 940, 940, 939, 970, 970, 970, 972, 970, 970, 970, 970, 970, 970
406, 982, 982, 939, 939, 938, 982, 982, 982, 979, 982, 982, 982, 982, 982, 982
61, 930, 930, 938, 938, 937, 930, 930, 930, 917, 930, 930, 930, 930, 930, 930
763, 917, 917, 937, 937, 936, 917, 917, 917, 763, 917, 917, 917, 917, 917, 917
759, 729, 729, 936, 936, 935, 729, 729, 729, 885, 729, 729, 729, 729, 729, 729
729, 885, 885, 935, 935, 934, 885, 885, 885, 876, 885, 885, 885, 885, 885, 885
65, 876, 876, 934, 934, 933, 876, 876, 876, 858, 876, 876, 876, 876, 876, 876
685, 868, 868, 933, 933, 932, 868, 868, 868, 851, 868, 868, 868, 868, 868, 868
436, 851, 851, 932, 932, 931, 851, 851, 851, 822, 851, 851, 851, 851, 851, 851
592, 819, 819, 931, 931, 930, 819, 819, 819, 913, 819, 819, 819, 819, 819, 819
264, 913, 913, 930, 930, 929, 913, 913, 913, 887, 913, 913, 913, 913, 913, 913
205, 866, 866, 929, 929, 928, 866, 866, 866, 838, 866, 866, 866, 866, 866, 866
353, 838, 838, 928, 928, 927, 838, 838, 838, 815, 838, 838, 838, 838, 838, 838
802, 754, 754, 927, 927, 926, 754, 754, 754, 872, 754, 754, 754, 754, 754, 754
257, 872, 872, 926, 926, 925, 872, 872, 872, 841, 872, 872, 872, 872, 872, 872
857, 841, 841, 925, 925, 924, 841, 841, 841, 830, 841, 841, 841, 841, 841, 841
81, 830, 830, 924, 924, 923, 830, 830, 830, 965, 830, 830, 830, 830, 830, 830
202, 965, 965, 923, 923, 922, 965, 965, 965, 879, 965, 965, 965, 965, 965, 965
895, 857, 857, 922, 922, 921, 857, 857, 857, 938, 857, 857, 857, 857, 857, 857
887, 945, 945, 921, 921, 920, 945, 945, 945, 852, 945, 945, 945, 945, 945, 945
382, 852, 852, 920, 920, 919, 852, 852, 852, 897, 852, 852, 852, 852, 852, 852
742, 928, 928, 919, 919, 918, 928, 928, 928, 757, 928, 928, 928, 928, 928, 928
598, 714, 714, 918, 918, 917, 714, 714, 714, 859, 714, 714, 714, 714, 714, 714
529, 859, 859, 917, 917, 916, 859, 859, 859, 848, 859, 859, 859, 859, 859, 859
774, 848, 848, 916, 916, 915, 848, 848, 848, 907, 848, 848, 848, 848, 848, 848
60, 907, 907, 915, 915, 914, 907, 907, 907, 892, 907, 907, 907, 907, 907, 907
975, 892, 892, 914, 914, 913, 892, 892, 892, 914, 892, 892, 892, 892, 892, 892
792, 935, 935, 913, 913, 912, 935, 935, 935, 920, 935, 935, 935, 935, 935, 935
604, 878, 878, 912, 912, 911, 878, 878, 878, 886, 878, 878, 878, 878, 878, 878
57, 886, 886, 911, 911, 910, 886, 886, 886, 823, 886, 886, 886, 886, 886, 886
886, 787, 787, 910, 910, 909, 787, 787, 787, 911, 787, 787, 787, 787, 787, 787
904, 911, 911, 909, 909, 908, 911, 911, 911, 832, 911, 911, 911, 911, 911, 911
994, 785, 785, 908, 908, 907, 785, 785, 785, 906, 785, 785, 785, 785, 785, 785
106, 929, 929, 907, 907, 906, 929, 929, 929, 926, 929, 929, 929, 929, 929, 929
260, 904, 904, 906, 906, 905, 904, 904, 904, 896, 904, 904, 904, 904, 904, 904
29, 870, 870, 905, 905, 904, 870, 870, 870, 865, 870, 870, 870, 870, 870, 870
95, 865, 865, 904, 904, 903, 865, 865, 865, 843, 865, 865, 865, 865, 865, 865
96, 745, 745, 903, 903, 902, 745, 745, 745, 873, 745, 745, 745, 745, 745, 745
330, 873, 873, 902, 902, 901, 873, 873, 873, 874, 873, 873, 873, 873, 873, 873
865, 927, 927, 901, 901, 900, 927, 927, 927, 807, 927, 927, 927, 927, 927, 927
612, 807, 807, 900, 900, 899, 807, 807, 807, 840, 807, 807, 807, 807, 807, 807
134, 840, 840, 899, 899, 898, 840, 840, 840, 820, 840, 840, 840, 840, 840, 840
806, 820, 820, 898, 898, 897, 820, 820, 820, 826, 820, 820, 820, 820, 820, 820
102, 826, 826, 897, 897, 896, 826, 826, 826, 827, 826, 826, 826, 826, 826, 826
901, 827, 827, 896, 896, 895, 827, 827, 827, 855, 827, 827, 827, 827, 827, 827
199, 855, 855, 895, 895, 894, 855, 855, 855, 916, 855, 855, 855, 855, 855, 855
443, 916, 916, 894, 894, 893, 916, 916, 916, 909, 916, 916, 916, 916, 916, 916
925, 909, 909, 893, 893, 892, 909, 909, 909, 864, 909, 909, 909, 909, 909, 909
107, 735, 735, 892, 892, 891, 735, 735, 735, 956, 735, 735, 735, 735, 735, 735
108, 956, 956, 891, 891, 890, 956, 956, 956, 875, 956, 956, 956, 956, 956, 956
336, 856, 856, 890, 890, 889, 856, 856, 856, 894, 856, 856, 856, 856, 856, 856
142, 894, 894, 889, 889, 888, 894, 894, 894, 953, 894, 894, 894, 894, 894, 894
581, 953, 953, 888, 888, 887, 953, 953, 953, 903, 953, 953, 953, 953, 953, 953
349, 903, 903, 887, 887, 886, 903, 903, 903, 952, 903, 903, 903, 903, 903, 903
871, 952, 952, 886, 886, 885, 952, 952, 952, 923, 952, 952, 952, 952, 952, 952
923, 923, 923, 885, 885, 884, 923, 923, 923, 883, 923, 923, 923, 923, 923, 923
434, 849, 849, 884, 884, 883, 849, 849, 849, 861, 849, 849, 849, 849, 849, 849
