item,heapify,push,peek,pop,remove_first_peek,remove_15,remove_19,remove_88,remove_12,remove_3,remove_76,remove_94,remove_40,remove_79,remove_9
62, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
72, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
52, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
1, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3
90, 4, 4, 4, 4, 5, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4
83, 6, 6, 5, 5, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6
13, 5, 5, 6, 6, 7, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5
57, 7, 7, 7, 7, 8, 7, 7, 7, 7, 9, 7, 7, 7, 7, 7
46, 11, 11, 8, 8, 9, 11, 11, 11, 11, 15, 11, 11, 11, 11, 11
42, 20, 20, 9, 9, 10, 20, 20, 20, 20, 8, 20, 20, 20, 20, 20
67, 8, 8, 10, 10, 11, 8, 8, 8, 8, 12, 8, 8, 8, 8, 8
2, 12, 12, 11, 11, 12, 12, 12, 12, 13, 13, 12, 12, 12, 12, 12
12, 13, 13, 12, 12, 13, 13, 13, 13, 32, 32, 13, 13, 13, 13, 13
50, 43, 43, 13, 13, 14, 30, 30, 43, 26, 26, 43, 43, 43, 43, 30
70, 26, 26, 14, 14, 15, 17, 17, 26, 10, 10, 26, 26, 26, 26, 17
85, 10, 10, 15, 15, 16, 10, 10, 10, 9, 11, 10, 10, 10, 10, 10
7, 9, 9, 16, 16, 17, 9, 9, 9, 16, 16, 9, 9, 9, 9, 16
84, 16, 16, 17, 17, 18, 16, 16, 16, 15, 20, 16, 16, 16, 16, 15
17, 15, 15, 18, 18, 19, 22, 15, 15, 22, 22, 15, 15, 15, 15, 22
14, 22, 22, 19, 19, 20, 29, 22, 22, 29, 29, 22, 22, 22, 22, 29
20, 29, 29, 20, 20, 21, 35, 29, 29, 35, 35, 29, 29, 29, 29, 35
48, 36, 36, 21, 21, 22, 14, 36, 36, 14, 14, 36, 36, 36, 36, 14
88, 14, 14, 22, 22, 23, 18, 14, 14, 18, 18, 14, 14, 14, 14, 18
93, 18, 18, 23, 23, 24, 25, 18, 18, 25, 25, 18, 18, 18, 18, 25
81, 25, 25, 24, 24, 25, 19, 25, 25, 19, 19, 25, 25, 25, 25, 19
98, 19, 19, 25, 25, 26, 32, 32, 19, 43, 43, 19, 19, 19, 19, 32
61, 44, 44, 26, 26, 27, 55, 55, 44, 55, 55, 44, 44, 44, 44, 55
43, 55, 55, 27, 27, 28, 50, 50, 55, 50, 50, 55, 55, 55, 55, 50
28, 50, 50, 28, 28, 29, 43, 43, 50, 30, 30, 50, 50, 50, 50, 43
33, 30, 30, 29, 29, 30, 28, 28, 30, 28, 28, 30, 30, 30, 30, 28
30, 28, 28, 30, 30, 31, 26, 26, 28, 17, 17, 28, 28, 28, 28, 26
31, 17, 17, 31, 31, 32, 24, 24, 17, 24, 24, 17, 17, 17, 17, 24
64, 24, 24, 32, 32, 33, 27, 27, 24, 27, 27, 24, 24, 24, 24, 27
11, 27, 27, 33, 33, 34, 23, 23, 27, 23, 23, 27, 27, 27, 27, 23
51, 23, 23, 34, 34, 35, 37, 37, 23, 37, 37, 23, 23, 23, 23, 37
40, 54, 54, 35, 35, 36, 42, 42, 54, 42, 42, 54, 54, 54, 54, 42
82, 42, 42, 36, 36, 37, 49, 49, 42, 49, 49, 42, 42, 42, 42, 49
15, 49, 49, 37, 37, 38, 40, 40, 49, 40, 40, 49, 49, 49, 49, 40
10, 40, 40, 38, 38, 39, 34, 34, 40, 34, 34, 40, 40, 34, 40, 34
22, 34, 34, 39, 39, 40, 73, 73, 34, 73, 73, 34, 34, 73, 34, 73
87, 73, 73, 40, 40, 41, 41, 41, 73, 41, 41, 68, 73, 41, 68, 41
41, 41, 41, 41, 41, 42, 36, 35, 41, 36, 36, 41, 41, 35, 41, 36
53, 35, 35, 42, 42, 43, 63, 63, 35, 63, 63, 35, 35, 63, 35, 63
38, 63, 63, 43, 43, 44, 39, 39, 63, 39, 39, 48, 48, 39, 48, 39
39, 39, 39, 44, 44, 45, 38, 38, 39, 38, 38, 39, 39, 38, 39, 38
45, 38, 38, 45, 45, 46, 21, 21, 38, 21, 21, 38, 38, 21, 38, 21
8, 21, 21, 46, 46, 47, 71, 71, 21, 71, 71, 21, 21, 71, 21, 71
47, 71, 71, 47, 47, 48, 56, 56, 71, 56, 56, 71, 71, 56, 71, 56
56, 56, 56, 48, 48, 49, 83, 83, 56, 83, 83, 56, 56, 83, 56, 83
18, 83, 83, 49, 49, 50, 47, 47, 83, 47, 47, 83, 83, 47, 83, 47
25, 47, 47, 50, 50, 51, 98, 98, 47, 98, 98, 47, 47, 98, 47, 98
19, 98, 98, 51, 51, 52, 44, 44, 98, 44, 44, 98, 98, 32, 98, 44
32, 32, 32, 52, 52, 53, 61, 61, 32, 61, 61, 32, 32, 61, 32, 61
60, 61, 61, 53, 53, 54, 60, 60, 61, 60, 60, 61, 61, 60, 61, 60
44, 60, 60, 54, 54, 55, 62, 62, 60, 62, 62, 60, 60, 62, 60, 62
55, 62, 62, 55, 55, 56, 96, 96, 62, 96, 96, 62, 62, 96, 62, 96
96, 96, 96, 56, 56, 57, 79, 79, 96, 79, 79, 96, 96, 79, 96, 79
79, 79, 79, 57, 57, 58, 58, 58, 79, 58, 58, 79, 79, 58, 58, 58
58, 58, 58, 58, 58, 59, 70, 70, 58, 70, 70, 58, 58, 70, 70, 70
59, 70, 70, 59, 59, 60, 59, 59, 70, 59, 59, 70, 70, 59, 59, 59
26, 59, 59, 60, 60, 61, 66, 66, 59, 66, 66, 59, 59, 66, 66, 66
66, 66, 66, 61, 61, 62, 33, 33, 66, 33, 33, 66, 66, 33, 33, 33
5, 33, 33, 62, 62, 63, 85, 85, 33, 85, 85, 33, 33, 85, 85, 85
9, 85, 85, 63, 63, 64, 52, 52, 85, 52, 52, 85, 85, 52, 52, 52
3, 52, 52, 64, 64, 65, 64, 64, 52, 64, 64, 52, 52, 64, 64, 64
24, 64, 64, 65, 65, 66, 92, 92, 64, 92, 92, 64, 64, 92, 92, 92
92, 92, 92, 66, 66, 67, 72, 72, 92, 72, 72, 92, 92, 72, 72, 72
0, 72, 72, 67, 67, 68, 31, 31, 72, 31, 31, 72, 72, 31, 31, 31
27, 31, 31, 68, 68, 69, 51, 51, 31, 51, 51, 31, 31, 51, 51, 51
37, 51, 51, 69, 69, 70, 54, 54, 51, 54, 54, 51, 51, 37, 37, 54
23, 37, 37, 70, 70, 71, 84, 84, 37, 84, 84, 37, 37, 84, 84, 84
76, 84, 84, 71, 71, 72, 76, 76, 84, 76, 76, 84, 84, 76, 76, 76
54, 76, 76, 72, 72, 73, 82, 82, 76, 82, 82, 82, 76, 82, 82, 82
16, 82, 82, 73, 73, 74, 95, 95, 82, 95, 95, 95, 82, 95, 95, 95
95, 95, 95, 74, 74, 75, 89, 89, 95, 89, 89, 89, 95, 89, 89, 89
89, 89, 89, 75, 75, 76, 57, 57, 89, 57, 57, 57, 89, 57, 57, 57
