size,addfirst(ms),addlast(ms),addrandpos(ms),removefist(ms),removelast(ms),removerandpos(ms),getrandpos(ms)
864375,1.34,0,0,1.53,0,0,0
267756,0.02,0,0.005,0.05,0,0.03,0
149008,0,0,0,0,0,0,0
801231,1.24,0,1.045,1.33,0,1.005,0
240686,0,0,0,0.005,0,0,0
295619,0.06,0,0.005,0.325,0,0.02,0
342942,0.275,0,0,0.39,0,0,0
522284,1.005,0,1,1.155,0,1,0
33475,0,0,0,0,0,0,0
474715,0.485,0,0,1,0,0,0
736887,1.055,0,0,1.11,0,0,0
64517,0,0,0,0,0,0,0
91199,0,0,0,0,0,0,0
426731,0.275,0,0.005,1,0,0.02,0
452663,0.66,0,0.01,0.935,0,0,0
191035,0,0,0,0.005,0,0,0
991782,1.995,0,0.005,2.065,0,0.005,0
116412,0,0,0,0,0,0,0
93335,0,0,0,0,0,0,0
318029,0.065,0,0,0.135,0,0,0
909226,1.325,0,1.045,1.68,0,1.31,0
907306,1.385,0,1.085,1.98,0,1.965,0
646898,1.045,0,1.01,1.01,0,1.015,0
963479,1.455,0,0.165,2.12,0,0.68,0
536058,1,0,0.145,1,0,0.25,0
481706,0.625,0,0,1,0,0,0
199659,0,0,0,0,0,0,0
901058,1.38,0,1.175,2.015,0,1.935,0
663656,1.03,0,1,1.015,0,1.025,0
548646,1.02,0,0.08,1,0,0.115,0
8591,0,0,0,0,0,0,0
348749,0.095,0,0,0.09,0,0,0
100766,0,0,0,0,0,0,0
179205,0,0,0,0,0,0,0
205778,0.005,0,0,0,0,0,0
724296,1.025,0,0.01,1.035,0,0.01,0
490358,0.83,0,0,1,0,0,0
585551,1.02,0,0,1.015,0,0.02,0
126235,0,0,0,0,0,0,0
148791,0,0,0,0,0,0,0
152470,0,0,0,0.005,0,0,0
981710,2.03,0,0.155,2.09,0,0.09,0
872568,1.235,0,0,1.68,0,0,0
944826,1.565,0,1,2.03,0,1,0
99943,0,0,0,0,0,0,0
355677,0.065,0,0,0.06,0,0,0
509867,1,0,0,1,0,0,0
400131,0.17,0,0.005,0.195,0,0.22,0
476691,0.725,0,0,1,0,0,0
936766,1.58,0,1,2.015,0,1.015,0
675772,1.025,0,0.3,1.015,0,1,0
137016,0,0,0,0,0,0,0
301529,0.045,0,0,0.01,0,0,0
646637,1.025,0,1.01,1.14,0,1.225,0
569565,1.02,0,0.035,1.005,0,0.165,0
511797,1,0,1,1,0,1,0
831035,1.105,0,0.125,1.34,0,0.2,0
53112,0,0,0,0,0,0,0
447899,0.22,0,0,0.78,0,0,0
129862,0,0,0,0,0,0,0
89420,0,0,0,0,0,0,0
531418,1.01,0,0.18,1,0,0.935,0
515697,1.01,0,0.815,1,0,1,0
358035,0.15,0,0,0.105,0,0,0
127363,0,0,0,0,0,0,0
102063,0,0,0,0,0,0,0
976496,2.06,0,0.05,2.01,0,0.05,0
258018,0.02,0,0,0.005,0,0.005,0
528623,1.01,0,0.19,1.01,0,0.715,0
551690,1.015,0,0.05,1.115,0,0.115,0
159630,0.005,0,0,0,0,0,0
290686,0.055,0,0,0.005,0,0.005,0
450853,0.285,0,0,0.65,0,0.01,0
771454,1.085,0,1.025,1.215,0,1.24,0
891435,1.275,0,0,1.85,0,0,0
971375,1.965,0,0.12,2.075,0,0.265,0
211648,0,0,0,0,0,0,0
366020,0.11,0,0,0.095,0,0,0
307609,0.05,0,0,0.025,0,0,0
810956,1.07,0,1,1.255,0,1.005,0
651487,1.035,0,1.17,1.06,0,1.17,0
69255,0,0,0,0,0,0,0
690213,1.055,0,0.115,1.005,0,0.17,0
786439,1.055,0,1.01,1.21,0,1.01,0
698241,1.025,0,0.065,1.215,0,0.095,0
681536,1.045,0,0.255,1.03,0,0.86,0
989373,2.05,0,0,2.13,0,0.015,0
635957,1.025,0,0,1.01,0,0,0
114055,0,0,0,0,0,0,0
486313,0.55,0,0,1.005,0,0,0
613657,1.015,0,0,1.01,0,0,0
409342,0.275,0,0,0.165,0,0.04,0
259632,0.01,0,0,0.005,0,0,0
636576,1.02,0,0,1.025,0,0,0
516189,1,0,0.85,1,0,1,0
623641,1.025,0,0,1.17,0,0,0
158495,0,0,0,0,0,0,0
216939,0,0,0,0,0,0,0
260411,0,0,0,0.01,0,0,0
729064,1.02,0,0,1.06,0,0,0
