size,addfirst(ms),addlast(ms),addrandpos(ms),removefist(ms),removelast(ms),removerandpos(ms),getrandpos(ms)
888986,1.1e+08,9.5e+07,1.99505e+12,1.1e+08,5.5e+07,1.38418e+12,1.48776e+12
822687,9e+07,3.5e+07,2.30461e+12,1.4e+08,7.5e+07,2.1828e+12,1.96018e+12
772281,9.5e+07,3.5e+07,1.89207e+12,1.15e+08,4.5e+07,1.36737e+12,1.3659e+12
797244,6e+07,2e+07,2.91977e+12,1.05e+08,4.5e+07,1.14162e+12,1.16591e+12
260885,6.5e+07,4e+07,3.23404e+11,1.4e+08,4e+07,2.98471e+11,2.76122e+11
703393,7.5e+07,5e+07,4.13911e+11,1.3e+08,8.5e+07,4.0388e+11,3.98286e+11
251195,6.5e+07,4e+07,1.09896e+12,1.3e+08,6e+07,1.4514e+11,1.3751e+11
873032,8e+07,4.5e+07,2.95655e+12,8e+07,7e+07,1.27981e+12,1.30247e+12
741534,5.5e+07,3e+07,1.60489e+12,9.5e+07,6.5e+07,1.48242e+12,1.53595e+12
149107,6e+07,4.5e+07,3.11728e+11,1.2e+08,2.5e+07,2.87665e+11,2.79036e+11
467358,6.5e+07,6e+07,1.51938e+12,9.5e+07,5e+06,8.19296e+11,9.34914e+11
109601,8.5e+07,4e+07,6.21924e+11,1.5e+08,6.5e+07,5.0465e+09,6.005e+09
646372,1.2e+08,7.5e+07,3.29275e+12,1.65e+08,4.5e+07,1.36164e+11,1.47014e+11
121378,1e+08,9e+07,3.17116e+11,1.5e+08,6.5e+07,2.32322e+11,2.31624e+11
536063,7.5e+07,5.5e+07,1.90079e+12,1.05e+08,3.5e+07,8.42246e+11,7.72484e+11
568528,6.5e+07,2.5e+07,2.01182e+12,1.25e+08,9.5e+07,8.00831e+11,7.63332e+11
85241,6e+07,7.5e+07,2.74515e+11,1.1e+08,5e+07,8.93165e+10,8.90885e+10
319556,1.05e+08,4e+07,6.12718e+11,1.15e+08,8e+07,5.40171e+11,5.45077e+11
552244,5.5e+07,6.5e+07,1.93937e+12,6.5e+07,9e+07,8.0065e+11,8.11226e+11
470058,7.5e+07,7e+07,2.41134e+12,1.05e+08,7.5e+07,5.07005e+10,4.98075e+10
485034,7e+07,4.5e+07,3.87063e+11,1.1e+08,7e+07,3.66344e+11,3.27988e+11
120536,5.5e+07,5e+07,2.00582e+11,9.5e+07,6.5e+07,1.77762e+11,1.72498e+11
389405,1.05e+08,5e+07,1.46808e+12,1.2e+08,1e+08,2.83561e+11,2.92716e+11
255659,9e+07,6e+07,1.36255e+12,1.35e+08,2.5e+07,5.88835e+10,5.69785e+10
884840,3.5e+07,4.5e+07,1.29119e+12,1.2e+08,5.5e+07,1.30599e+12,1.21213e+12
145707,3.5e+07,3.5e+07,2.02824e+11,1.2e+08,4.5e+07,2.5842e+11,2.41058e+11
337306,7.5e+07,3.5e+07,6.40277e+11,1.65e+08,5e+07,5.95733e+11,6.49124e+11
822258,3.5e+07,6e+07,8.4301e+11,4.4e+08,4e+07,7.76506e+11,8.65542e+11
565612,1.4e+08,9.5e+07,2.35623e+12,2.1e+08,1.1e+08,1.38013e+12,1.19307e+12
91772,4e+07,7e+07,1.21062e+11,1.2e+08,1.05e+08,1.2541e+11,1.20088e+11
57293,5.5e+07,4e+07,9.11335e+10,1.25e+08,1.1e+08,7.9771e+10,7.9251e+10
699465,1.55e+08,1.1e+08,1.1212e+12,1.05e+08,5.5e+07,9.50718e+11,8.29035e+11
253012,9.5e+07,5.5e+07,1.11661e+12,1.45e+08,4.5e+07,9.51105e+10,9.39265e+10
407687,6e+07,3.5e+07,7.498e+11,1.35e+08,1.05e+08,8.56796e+11,9.12339e+11
447278,1.2e+08,1.05e+08,6.3515e+10,1.35e+08,9e+07,6.02895e+10,7.6514e+10
692696,7e+07,4.5e+07,1.4838e+12,8e+07,5e+07,1.50138e+12,1.54079e+12
506019,5.5e+07,3e+07,2.09852e+12,1.35e+08,7.5e+07,5.9004e+11,7.64125e+11
740153,6e+07,4.5e+07,1.66283e+12,1.2e+08,7.5e+07,1.57782e+12,1.44384e+12
947960,2.5e+07,4.5e+07,3.379e+12,1.25e+08,5e+06,1.53371e+12,1.61832e+12
773712,1e+08,6.5e+07,3.92978e+12,1.2e+08,4.5e+07,1.41044e+11,1.40583e+11
842882,7e+07,3.5e+07,1.35278e+11,1e+08,8.5e+07,1.21512e+11,1.06429e+11
119616,7.5e+07,3.5e+07,3.1204e+11,1.15e+08,5e+06,2.47073e+11,2.5337e+11
916878,6e+07,4.5e+07,1.92764e+12,1e+08,7.5e+07,1.83086e+12,1.78166e+12
495470,4e+07,5.5e+07,2.21018e+11,8.5e+07,8e+07,1.8815e+11,1.99864e+11
474426,8.5e+07,6e+07,9.64976e+11,9e+07,7.5e+07,8.77408e+11,8.46293e+11
880211,3.5e+07,5e+07,4.46557e+12,1.15e+08,1.1e+08,3.06314e+11,3.52538e+11
369389,6e+07,5.5e+07,1.52191e+12,1.15e+08,4e+07,2.86056e+11,2.76782e+11
919460,3e+07,6e+07,2.80014e+12,1.05e+08,9.5e+07,3.32478e+12,3.31652e+12
876917,1.5e+08,4e+07,4.66627e+12,6.5e+07,3.5e+07,1.01773e+12,8.04723e+11
14018,4e+07,4e+07,1.36405e+10,7e+07,4e+07,1.38555e+10,1.39485e+10
535322,4.5e+07,5e+07,1.76406e+11,9e+07,9.5e+07,1.71938e+11,2.18529e+11
125683,1.35e+08,8e+07,5.24636e+11,2.15e+08,1.25e+08,2.4092e+11,2.49443e+11
864475,9.5e+07,5e+07,2.79275e+12,1.15e+08,5.5e+07,2.5218e+12,2.47311e+12
953812,5e+07,6e+07,1.23992e+12,9.5e+07,9.7e+08,1.43399e+12,1.32114e+12
98554,7e+07,5.5e+07,1.10752e+11,6.5e+07,4e+07,1.27166e+11,1.19678e+11
10322,1.5e+07,5e+07,5.9674e+10,9e+07,4e+07,2.3905e+09,2.007e+09
441600,6e+07,3e+07,1.1103e+11,6.5e+07,9e+07,1.21654e+11,1.01943e+11
284529,6.5e+07,6.5e+07,1.46474e+11,8.5e+07,5.5e+07,1.63024e+11,1.39768e+11
998294,9e+07,5.5e+07,3.63495e+12,1.55e+08,4.5e+07,2.42415e+12,2.83097e+12
544201,1.2e+08,4.5e+07,4.06897e+12,1.6e+08,1.05e+08,3.22955e+10,3.0123e+10
318794,9e+07,5e+07,1.47368e+11,8e+07,6.5e+07,1.70427e+11,1.34054e+11
751448,1.05e+08,5.5e+07,4.40534e+12,1.4e+08,5.5e+07,3.88662e+11,3.9365e+11
737681,9e+07,4e+07,2.10886e+12,8e+07,5.5e+07,2.25606e+12,2.01259e+12
397611,5.5e+07,6e+07,2.31066e+12,1.3e+08,8.5e+07,3.34846e+11,3.05998e+11
130164,4e+07,3e+07,3.36024e+11,9e+07,1.05e+08,2.68742e+11,2.44405e+11
164775,1.75e+08,8e+07,4.85976e+11,1.15e+08,9e+07,2.97005e+11,2.66894e+11
