item,heapify,push,peek,pop,remove_first_peek,remove_851,remove_2431,remove_4633,remove_5567,remove_7633,remove_4315,remove_4341,remove_7,remove_7079,remove_5703
2858, 9999, 9999, 9999, 9999, 9998, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999
8763, 9997, 9997, 9998, 9998, 9997, 9997, 9997, 9997, 9997, 9997, 9997, 9997, 9997, 9997, 9997
890, 9998, 9998, 9997, 9997, 9996, 9998, 9998, 9998, 9998, 9998, 9998, 9998, 9998, 9998, 9998
388, 9994, 9994, 9996, 9996, 9995, 9994, 9994, 9994, 9994, 9994, 9994, 9994, 9994, 9994, 9994
9169, 9983, 9983, 9995, 9995, 9994, 9983, 9983, 9983, 9983, 9983, 9983, 9983, 9983, 9983, 9983
5011, 9996, 9996, 9994, 9994, 9993, 9996, 9996, 9996, 9996, 9996, 9996, 9996, 9996, 9996, 9996
6, 9985, 9985, 9993, 9993, 9992, 9985, 9985, 9985, 9985, 9985, 9985, 9985, 9985, 9985, 9985
972, 9991, 9991, 9992, 9992, 9991, 9991, 9991, 9991, 9991, 9991, 9991, 9991, 9991, 9991, 9991
718, 9993, 9993, 9991, 9991, 9990, 9993, 9993, 9993, 9993, 9993, 9993, 9993, 9993, 9993, 9993
352, 9966, 9966, 9990, 9990, 9989, 9966, 9966, 9966, 9966, 9966, 9966, 9966, 9966, 9966, 9966
9060, 9982, 9982, 9989, 9989, 9988, 9982, 9982, 9982, 9982, 9982, 9982, 9982, 9982, 9982, 9982
464, 9988, 9988, 9988, 9988, 9987, 9988, 9988, 9988, 9988, 9988, 9988, 9988, 9988, 9988, 9988
5148, 9995, 9995, 9987, 9987, 9986, 9995, 9995, 9995, 9995, 9995, 9995, 9995, 9995, 9995, 9995
8900, 9981, 9981, 9986, 9986, 9985, 9981, 9981, 9981, 9981, 9981, 9981, 9981, 9981, 9981, 9981
965, 9960, 9960, 9985, 9985, 9984, 9960, 9960, 9960, 9960, 9960, 9960, 9960, 9960, 9960, 9960
5584, 9975, 9975, 9984, 9984, 9983, 9975, 9975, 9975, 9975, 9975, 9975, 9975, 9975, 9975, 9975
16, 9984, 9984, 9983, 9983, 9982, 9984, 9984, 9984, 9984, 9984, 9984, 9984, 9984, 9984, 9984
9469, 9987, 9987, 9982, 9982, 9981, 9987, 9987, 9987, 9987, 9987, 9987, 9987, 9987, 9987, 9987
