item,heapify,push,peek,pop,remove_first_peek,remove_4,remove_9,remove_10,remove_1
1, 14, 14, 14, 14, 13, 14, 14, 14, 14
0, 13, 13, 13, 13, 12, 13, 13, 13, 13
13, 12, 12, 12, 12, 11, 12, 12, 12, 12
10, 9, 9, 11, 11, 10, 9, 11, 9, 9
14, 11, 11, 10, 10, 9, 11, 10, 11, 11
12, 5, 5, 9, 9, 8, 6, 8, 6, 6
6, 8, 8, 8, 8, 7, 8, 3, 8, 8
7, 0, 0, 7, 7, 6, 0, 7, 0, 0
9, 7, 7, 6, 6, 5, 7, 4, 7, 7
4, 4, 4, 5, 5, 4, 10, 5, 4, 4
11, 10, 10, 4, 4, 3, 1, 1, 1, 10
2, 1, 1, 3, 3, 2, 2, 2, 2, 2
5, 2, 2, 2, 2, 1, 5, 6, 5, 5
8, 6, 6, 1, 1, 0, 3, 0, 3, 3
3, 3, 3, 0, 0, None, None, None, None, None
