item,heapify,push,peek,pop,remove_first_peek,remove_5,remove_8,remove_12,remove_1,remove_3,remove_13
10, 19, 19, 19, 19, 18, 19, 19, 19, 19, 19, 19
4, 18, 18, 18, 18, 17, 18, 18, 18, 18, 18, 18
7, 14, 14, 17, 17, 16, 14, 14, 14, 14, 14, 14
0, 15, 15, 16, 16, 15, 15, 16, 16, 15, 15, 16
1, 17, 17, 15, 15, 14, 17, 17, 17, 17, 17, 17
14, 12, 12, 14, 14, 13, 12, 12, 13, 12, 12, 12
18, 13, 13, 13, 13, 12, 13, 13, 8, 13, 13, 8
8, 8, 8, 12, 12, 11, 8, 11, 11, 8, 8, 11
16, 11, 11, 11, 11, 10, 11, 15, 15, 11, 11, 15
9, 16, 16, 10, 10, 9, 16, 9, 9, 16, 16, 9
17, 9, 9, 9, 9, 8, 9, 6, 6, 9, 9, 6
6, 6, 6, 8, 8, 7, 6, 7, 7, 6, 6, 7
12, 7, 7, 7, 7, 6, 7, 10, 10, 7, 7, 10
13, 10, 10, 6, 6, 5, 10, 5, 5, 10, 10, 5
5, 5, 5, 5, 5, 4, 0, 0, 0, 5, 5, 0
3, 0, 0, 4, 4, 3, 3, 3, 3, 0, 0, 3
11, 3, 3, 3, 3, 2, 4, 4, 4, 3, 4, 4
15, 4, 4, 2, 2, 1, 2, 2, 2, 4, 2, 2
2, 2, 2, 1, 1, 0, 1, 1, 1, 2, 1, 1
19, 1, 1, 0, 0, None, None, None, None, None, None, None
