item,heapify,push,peek,pop,remove_first_peek,remove_5,remove_8,remove_12,remove_1,remove_3,remove_13
10, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
4, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1
7, 5, 5, 2, 2, 3, 2, 5, 5, 2, 5, 5
0, 2, 2, 3, 3, 4, 3, 2, 2, 4, 2, 2
1, 4, 4, 4, 4, 5, 7, 4, 4, 7, 4, 4
14, 7, 7, 5, 5, 6, 6, 7, 7, 6, 7, 7
18, 6, 6, 6, 6, 7, 8, 6, 6, 8, 6, 6
8, 8, 8, 7, 7, 8, 4, 3, 8, 5, 8, 8
16, 3, 3, 8, 8, 9, 9, 9, 3, 9, 9, 3
9, 9, 9, 9, 9, 10, 17, 17, 9, 17, 17, 9
17, 17, 17, 10, 10, 11, 14, 14, 17, 14, 14, 17
6, 14, 14, 11, 11, 12, 12, 12, 14, 12, 12, 14
12, 12, 12, 12, 12, 13, 18, 18, 18, 18, 18, 12
13, 18, 18, 13, 13, 14, 13, 13, 13, 13, 13, 18
5, 13, 13, 14, 14, 15, 10, 10, 10, 10, 10, 10
3, 10, 10, 15, 15, 16, 11, 11, 11, 11, 11, 11
11, 11, 11, 16, 16, 17, 16, 16, 16, 16, 16, 16
15, 16, 16, 17, 17, 18, 15, 15, 15, 15, 15, 15
2, 15, 15, 18, 18, 19, 19, 19, 19, 19, 19, 19
19, 19, 19, 19, 19, None, None, None, None, None, None, None
