item,heapify,push,peek,pop,remove_first_peek,remove_44,remove_1,remove_36,remove_20,remove_4,remove_6,remove_16,remove_39,remove_14,remove_9,remove_30,remove_12,remove_33,remove_24,remove_7
11, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
40, 3, 3, 2, 2, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
15, 5, 5, 3, 3, 4, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
29, 2, 2, 4, 4, 5, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
5, 4, 4, 5, 5, 6, 4, 11, 4, 4, 11, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
6, 11, 11, 6, 6, 7, 11, 10, 11, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11
7, 10, 10, 7, 7, 8, 10, 7, 10, 10, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10
35, 7, 7, 8, 8, 9, 7, 17, 7, 7, 17, 7, 7, 7, 7, 7, 7, 7, 7, 7, 17
25, 17, 17, 9, 9, 10, 17, 8, 17, 17, 8, 9, 9, 17, 9, 17, 17, 17, 17, 9, 8
19, 8, 8, 10, 10, 11, 8, 6, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6
33, 6, 6, 11, 11, 12, 6, 12, 6, 6, 12, 12, 6, 6, 6, 6, 6, 6, 6, 6, 12
12, 16, 16, 12, 12, 13, 16, 27, 16, 16, 27, 27, 27, 16, 16, 16, 16, 16, 16, 16, 27
27, 27, 27, 13, 13, 14, 27, 14, 26, 27, 14, 14, 14, 27, 26, 26, 27, 26, 26, 26, 14
14, 14, 14, 14, 14, 15, 14, 15, 14, 14, 15, 15, 15, 14, 15, 14, 14, 14, 14, 14, 15
3, 15, 15, 15, 15, 16, 15, 13, 15, 15, 13, 13, 13, 15, 13, 15, 15, 15, 15, 15, 13
