x,y,z
 -5.0000,  -5.0000,  50.0000
 -5.0000,  -4.9000,  49.0100
 -5.0000,  -4.8000,  48.0400
 -5.0000,  -4.7000,  47.0900
 -5.0000,  -4.6000,  46.1600
 -5.0000,  -4.5000,  45.2500
 -5.0000,  -4.4000,  44.3600
 -5.0000,  -4.3000,  43.4900
 -5.0000,  -4.2000,  42.6400
 -5.0000,  -4.1000,  41.8100
 -5.0000,  -4.0000,  41.0000
 -5.0000,  -3.9000,  40.2100
 -5.0000,  -3.8000,  39.4400
 -5.0000,  -3.7000,  38.6900
 -5.0000,  -3.6000,  37.9600
 -5.0000,  -3.5000,  37.2500
 -5.0000,  -3.4000,  36.5600
 -5.0000,  -3.3000,  35.8900
 -5.0000,  -3.2000,  35.2400
 -5.0000,  -3.1000,  34.6100
 -5.0000,  -3.0000,  34.0000
 -5.0000,  -2.9000,  33.4100
 -5.0000,  -2.8000,  32.8400
 -5.0000,  -2.7000,  32.2900
 -5.0000,  -2.6000,  31.7600
 -5.0000,  -2.5000,  31.2500
 -5.0000,  -2.4000,  30.7600
 -5.0000,  -2.3000,  30.2900
 -5.0000,  -2.2000,  29.8400
 -5.0000,  -2.1000,  29.4100
 -5.0000,  -2.0000,  29.0000
 -5.0000,  -1.9000,  28.6100
 -5.0000,  -1.8000,  28.2400
 -5.0000,  -1.7000,  27.8900
 -5.0000,  -1.6000,  27.5600
 -5.0000,  -1.5000,  27.2500
 -5.0000,  -1.4000,  26.9600
 -5.0000,  -1.3000,  26.6900
 -5.0000,  -1.2000,  26.4400
 -5.0000,  -1.1000,  26.2100
 -5.0000,  -1.0000,  26.0000
 -5.0000,  -0.9000,  25.8100
 -5.0000,  -0.8000,  25.6400
 -5.0000,  -0.7000,  25.4900
 -5.0000,  -0.6000,  25.3600
 -5.0000,  -0.5000,  25.2500
 -5.0000,  -0.4000,  25.1600
 -5.0000,  -0.3000,  25.0900
 -5.0000,  -0.2000,  25.0400
 -5.0000,  -0.1000,  25.0100
 -5.0000,   0.0000,  25.0000
 -5.0000,   0.1000,  25.0100
 -5.0000,   0.2000,  25.0400
 -5.0000,   0.3000,  25.0900
 -5.0000,   0.4000,  25.1600
 -5.0000,   0.5000,  25.2500
 -5.0000,   0.6000,  25.3600
 -5.0000,   0.7000,  25.4900
 -5.0000,   0.8000,  25.6400
 -5.0000,   0.9000,  25.8100
 -5.0000,   1.0000,  26.0000
 -5.0000,   1.1000,  26.2100
 -5.0000,   1.2000,  26.4400
 -5.0000,   1.3000,  26.6900
 -5.0000,   1.4000,  26.9600
 -5.0000,   1.5000,  27.2500
 -5.0000,   1.6000,  27.5600
 -5.0000,   1.7000,  27.8900
 -5.0000,   1.8000,  28.2400
 -5.0000,   1.9000,  28.6100
 -5.0000,   2.0000,  29.0000
 -5.0000,   2.1000,  29.4100
 -5.0000,   2.2000,  29.8400
 -5.0000,   2.3000,  30.2900
 -5.0000,   2.4000,  30.7600
 -5.0000,   2.5000,  31.2500
 -5.0000,   2.6000,  31.7600
 -5.0000,   2.7000,  32.2900
 -5.0000,   2.8000,  32.8400
 -5.0000,   2.9000,  33.4100
 -5.0000,   3.0000,  34.0000
 -5.0000,   3.1000,  34.6100
 -5.0000,   3.2000,  35.2400
