size,addfirst(ms),addlast(ms),addrandpos(ms),removefist(ms),removelast(ms),removerandpos(ms),getrandpos(ms),getFirstpos(ms),getLastpos(ms)
678243,2.05,0,0.39,1.65,0,0.47,0,0,0
649462,1.2,0,0.345,1.65,0,0.415,0,0,0
38903,0,0,0,0,0,0,0,0,0
683630,1.25,0,0.22,1.1,0,0.22,0,0,0
170518,0,0,0,0,0,0,0,0,0
247264,0.05,0,0,0,0,0,0,0,0
826707,1.65,0,0.435,1.8,0,0.43,0,0,0
318802,0.8,0,0,0.1,0,0,0,0,0
882350,1.55,0,0.615,1.75,0,0.61,0,0,0
312478,0.65,0,0,0,0,0.005,0,0,0
629861,1.3,0,0.28,1.15,0,0.345,0,0,0
677793,1.3,0,0.635,1.2,0,0.865,0,0,0
98504,0,0,0,0,0,0,0,0,0
170159,0,0,0,0,0,0,0,0,0
202300,0,0,0,0.05,0,0,0,0,0
275163,0.4,0,0.005,0.25,0,0,0,0,0
613295,1.15,0,0.165,1.15,0,0.215,0,0,0
317378,0.55,0,0,0,0,0.005,0,0,0
955489,2.25,0,0.82,2.45,0,1.23,0,0,0
276568,0.05,0,0.01,0.05,0,0.005,0,0,0
215884,0,0,0,0,0,0,0,0,0
531992,1.1,0,0.4,1.2,0,0.6,0,0,0
174330,0,0,0,0,0,0.005,0,0,0
299276,0.3,0,0.005,0.35,0,0.01,0,0,0
790161,1.55,0,0.59,2.05,0,0.67,0,0,0
237503,0.15,0,0,0.55,0,0.005,0,0,0
810562,1.7,0,0.585,2.15,0,0.57,0,0,0
44838,0,0,0,0,0,0,0,0,0
418539,0.75,0,0,0.55,0,0,0,0,0
791585,1.3,0,0.82,1.25,0,0.84,0,0,0
157186,0,0,0,0.1,0,0,0,0,0
226182,0.1,0,0,0,0,0,0,0,0
568760,1.25,0,0.155,1.1,0,0.235,0,0,0
982263,2.15,0,1.285,2,0,1.44,0,0,0
168078,0,0,0,0,0,0,0,0,0
242543,0,0,0,0,0,0,0,0,0
498601,1,0,0.145,1,0,0.2,0,0,0
87357,0,0,0,0,0,0,0,0,0
870211,2,0,0.58,2.3,0,0.66,0,0,0
327206,0.75,0,0.045,0.05,0,0.07,0,0,0
107937,0,0,0.005,0,0,0,0,0,0
678927,1.45,0,0.115,1.3,0,0.13,0,0,0
150833,0,0,0,0,0,0,0,0,0
473238,1,0,0.125,1,0,0.165,0,0,0
908677,2.2,0,0.435,2.35,0,0.56,0,0,0
690158,1.25,0,0.415,1.55,0,0.66,0,0,0
856925,1.5,0,0.42,1.95,0,0.41,0,0,0
86543,0,0,0,0,0,0,0,0,0
192914,0,0,0,0,0,0,0,0,0
571760,1.15,0,0.235,1,0,0.335,0,0,0
403885,0.95,0,0.055,0.6,0,0.14,0,0,0
550553,1,0,0.045,1.1,0,0.225,0,0,0
44190,0,0,0,0,0,0,0,0,0
530081,1.1,0,0.215,1.05,0,0.275,0,0,0
54438,0,0,0,0,0,0,0,0,0
719177,2.05,0,0.345,1.35,0,0.49,0,0,0
478299,1.05,0,0.295,1,0,0.405,0,0,0
953193,1.95,0,0.53,2.45,0,0.7,0,0,0
700465,1.5,0,0.285,1.25,0,0.275,0,0,0
63478,0,0,0,0,0,0,0,0,0
632100,1.3,0,0.255,1,0,0.31,0,0,0
298157,0.3,0,0,0.35,0,0,0,0,0
987925,2.4,0,0.745,2.1,0,0.82,0,0,0
303763,0.3,0,0.015,0.1,0,0.02,0,0,0
183036,0,0,0,0,0,0,0,0,0
584473,1.25,0,0.085,1.25,0,0.145,0,0,0
22575,0,0,0,0,0,0,0,0,0
330348,0.6,0,0,0.55,0,0.01,0,0,0
901155,1.85,0,0.655,2.1,0,0.705,0,0,0
301047,0.55,0,0,0,0,0.015,0,0,0
542369,1.15,0,0.09,1,0,0.205,0,0,0
532245,1.15,0,0.29,1,0,0.38,0,0,0
422618,0.9,0,0,0.35,0,0.04,0,0,0
326064,0.6,0,0.005,0.2,0,0.015,0,0,0
915130,2,0,0.72,2,0,0.895,0,0,0
115585,0,0,0,0,0,0,0,0,0
194563,0,0,0,0,0,0,0,0,0
280822,0.35,0,0,0.1,0,0.005,0,0,0
706731,1.4,0,0.4,1.4,0,0.465,0,0,0
348448,1,0,0.035,0.2,0,0.035,0,0,0
39212,0,0,0,0,0,0,0,0,0
877174,1.85,0,0.445,2.05,0,0.52,0,0,0
331388,0.9,0,0.015,0,0,0.04,0,0,0
383050,1,0,0.055,1.05,0,0.09,0,0,0
467669,1,0,0.035,1,0,0.075,0,0,0
329878,1,0,0.09,0.4,0,0.11,0,0,0
8609,0,0,0,0,0,0,0,0,0
649428,2,0,0.425,1.3,0,0.54,0,0,0
467291,1.05,0,0.18,1,0,0.16,0,0,0
979810,2.3,0,0.625,2.2,0,0.73,0,0,0
957515,2.2,0,0.51,2.1,0,0.675,0,0,0
313792,0.8,0,0.01,0.25,0,0.07,0,0,0
712755,1.4,0,0.36,1.3,0,0.465,0,0,0
569256,1.2,0,0.12,1.35,0,0.25,0,0,0
320054,0.75,0,0,0.55,0,0,0,0,0
923913,2.05,0,0.455,2.3,0,0.65,0,0,0
706728,1.3,0,0.49,1.3,0,0.625,0,0,0
296352,0.5,0,0.005,0.1,0,0,0,0,0
655371,1.3,0,0.32,1.3,0,0.34,0,0,0
323630,0.8,0,0,0.2,0,0.005,0,0,0
0,0.2,1,0,0.32,0,0,0
352216,1,0,0,0.4,0,0.015,0,0,0
