size,StraightInsertionSort,ShellSort,StraightSelectionSort,BubbleSort,HeapSort,QuickSort,Merge sort - DLL
1882,0,0,7,0,1,0,0
4693,0,0,53,0,2,0,0
3276,0,0,25,0,1,0,0
9290,0,0,158,0,3,1,1
1528,0,0,5,0,0,0,0
4170,0,0,35,0,1,0,0
1817,0,0,8,0,0,0,0
3970,0,0,32,0,1,0,0
2031,0,0,9,0,1,0,0
5297,0,0,54,0,1,0,0
8543,0,0,134,0,4,1,1
3565,0,0,29,0,1,0,0
8111,0,0,128,0,3,0,0
834,0,0,1,0,0,0,0
2388,0,0,13,0,1,0,0
1649,0,0,6,0,0,0,0
1661,0,0,6,0,0,0,0
3891,0,0,34,0,1,0,0
2460,0,0,13,0,1,0,0
1519,0,0,4,0,0,0,0
9122,0,0,153,0,3,0,1
119,0,0,0,0,0,0,0
9152,0,0,185,0,4,1,1
1335,0,0,3,0,0,0,0
6918,0,0,88,0,2,0,0
7155,0,0,90,0,2,0,0
321,0,0,0,0,0,0,0
5262,0,0,57,0,1,0,0
5773,0,0,73,0,4,1,0
4692,0,0,52,0,2,0,0
2816,0,0,20,0,0,0,0
7943,0,0,121,0,3,0,1
7871,0,0,124,0,3,0,0
2649,0,0,19,0,1,0,0
394,0,0,0,0,0,0,0
2107,0,0,9,0,0,0,0
6113,0,0,76,0,2,0,0
10000,0,0,184,0,5,0,1
4707,0,0,44,0,1,0,0
2009,0,0,11,0,1,0,0
1640,0,0,5,0,0,0,0
1778,0,0,8,0,0,0,0
9542,0,0,167,0,3,1,1
1854,0,0,8,0,0,0,0
116,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0
6894,0,0,95,0,2,0,0
6613,0,0,85,0,2,0,0
8591,0,0,218,0,3,0,1
8468,0,0,150,0,3,0,1
618,0,0,0,0,0,0,0
2639,0,0,20,0,1,0,0
619,0,0,0,0,0,0,0
2853,0,0,19,0,1,0,0
6989,0,0,126,0,2,0,0
6975,0,0,123,0,2,0,0
7477,0,0,103,0,2,0,0
3584,0,0,25,0,1,0,0
658,0,0,0,0,0,0,0
7443,0,0,95,0,2,0,0
743,0,0,1,0,0,0,0
4046,0,0,40,0,1,0,0
5280,0,0,53,0,2,0,0
8476,0,0,135,0,3,0,0
1407,0,0,8,0,0,0,0
6956,0,0,100,0,3,0,0
5657,0,0,71,0,2,0,0
3460,0,0,27,0,1,0,0
2066,0,0,10,0,1,0,0
8811,0,0,152,0,3,0,1
606,0,0,0,0,0,0,0
9594,0,0,173,0,4,1,1
2390,0,0,15,0,1,0,0
7499,0,0,97,0,3,0,0
975,0,0,2,0,0,0,0
8270,0,0,122,0,3,0,0
3845,0,0,30,0,1,0,0
1704,0,0,7,0,0,0,0
1314,0,0,4,0,0,0,0
8486,0,0,124,0,3,0,0
9311,0,0,148,0,3,0,1
7363,0,0,105,0,2,0,0
7554,0,0,107,0,2,0,1
4517,0,0,40,0,1,0,0
2598,0,0,16,0,1,0,0
3801,0,0,28,0,1,0,0
7454,0,0,95,0,2,0,0
8473,0,0,126,0,2,0,0
2555,0,0,16,0,1,0,0
4359,0,0,39,0,1,0,0
4980,0,0,46,0,1,0,0
4544,0,0,45,0,1,0,0
304,0,0,0,0,0,0,0
8280,0,0,124,0,3,1,1
6382,0,0,75,0,2,0,0
9851,0,0,172,0,3,1,1
6449,0,0,78,0,2,0,0
1248,0,0,3,0,0,0,0
7393,0,0,102,0,2,0,0
1812,0,0,8,0,0,0,0
