size,addfirst(ms),addlast(ms),addrandpos(ms),removefist(ms),removelast(ms),removerandpos(ms),getrandpos(ms)
402685,0,0,0.415,0,0,0,0
387722,0,0,0.305,0,0,0.03,0
976167,0,0,1.605,0,0,0.775,0.73
740349,0,0,2.15,0,0,1.02,1.05
231008,0,0,0.205,0,0,0,0
665040,0,0,1.53,0,0,0.27,0.27
809167,0,0,2.055,0,0,0.47,0.45
601967,0,0,1.085,0,0,0.155,0.15
969588,0,0,1.71,0,0,0.72,0.81
187820,0,0,0.045,0,0,0.01,0.01
973308,0,0,3.49,0,0,1.4,1.395
702086,0,0,1.55,0,0,0.37,0.395
287398,0,0,0.235,0,0,0,0
197302,0,0,0,0,0,0,0
299306,0,0,0.245,0,0,0,0
298663,0,0,0.235,0,0,0,0
483797,0,0,0.775,0,0,0.07,0.07
333528,0,0,0.215,0,0,0,0
341028,0,0,0.305,0,0,0,0
362984,0,0,0.655,0,0,0,0
292114,0,0,0.305,0,0,0,0
445725,0,0,0.6,0,0,0.09,0.2
607623,0,0,0.88,0,0,0.45,0.425
4159,0,0,0,0,0,0,0
869466,0,0,1.92,0,0,0.4,0.4
817734,0,0,1.84,0,0,0.845,0.835
554385,0,0,0.735,0,0,0.725,0.705
443536,0,0,0.92,0,0,0.115,0.135
825270,0,0,1.67,0,0,0.59,0.575
181332,0,0,0,0,0,0,0
953812,0,0,2.14,0,0,0.61,0.62
92957,0,0,0,0,0,0,0
961018,0,0,2.665,0,0,0.73,0.915
183736,0,0,0.025,0,0,0,0
349700,0,0,0.63,0,0,0.005,0.005
69510,0,0,0,0,0,0,0
988483,0,0,3.24,0,0,1.545,1.635
681975,0,0,1.265,0,0,0.37,0.35
363088,0,0,0.885,0,0,0.175,0.135
40593,0,0,0,0,0,0,0
92121,0,0,0.105,0,0,0.025,0.01
926358,0,0,1.175,0,0,1.115,1.095
782208,0,0,1.665,0,0,0.715,0.73
594518,0,0,1.155,0,0,0.305,0.305
803304,0,0,2.965,0,0,0.915,0.955
74253,0,0,0,0,0,0,0
683174,0,0,2.015,0,0,0.66,0.69
511006,0,0,1.62,0,0,0.75,0.635
529450,0,0,1.35,0,0,0.325,0.3
453843,0,0,1.885,0,0,0.34,0.345
21122,0,0,0,0,0,0,0
914775,0,0,3.375,0,0,1.14,1.3
146373,0,0,0.025,0,0,0,0
534396,0,0,1.715,0,0,0.35,0.335
568017,0,0,2.485,0,0,0.635,0.66
499166,0,0,1.425,0,0,0.57,0.725
579923,0,0,1.61,0,0,0.405,0.35
554160,0,0,1.26,0,0,0.5,0.5
666072,0,0,1.5,0,0,0.51,0.58
138601,0,0,0.03,0,0,0,0
938665,0,0,4.735,0,0,1.145,1.1
587804,0,0,2.12,0,0,0.56,0.585
994514,0,0,3.615,0,0,1.995,2.045
25138,0,0,0,0,0,0,0
394098,0,0,1.55,0,0,0.01,0
111079,0,0,0,0,0,0,0
469877,0,0,1.535,0,0,0.165,0.16
441740,0,0,0.99,0,0,0.325,0.275
651736,0,0,2,0,0,1.045,1.095
259841,0,0,0.455,0,0,0.15,0.11
151837,0,0,0.225,0,0,0,0
344450,0,0,0.765,0,0,0.135,0.1
866266,0,0,3.775,0,0,0.67,0.71
38224,0,0,0.045,0,0,0.02,0
276981,0,0,0.31,0,0,0.02,0.095
158111,0,0,0.02,0,0,0.01,0.005
759336,0,0,3.18,0,0,0.98,1.04
274510,0,0,0.425,0,0,0.075,0.02
643174,0,0,2.68,0,0,0.565,0.525
378204,0,0,0.82,0,0,0.11,0.02
42426,0,0,0,0,0,0,0
890590,0,0,2.535,0,0,1.585,1.65
772535,0,0,4.96,0,0,1.39,1.26
67922,0,0,0.135,0,0,0,0.09
300346,0,0,0.905,0,0,0.28,0.295
772125,0,0,2.905,0,0,0.79,0.73
169517,0,0,0.005,0,0,0.005,0
421619,0,0,1.36,0,0,0.175,0.205
550511,0,0,1.7,0,0,0.405,0.345
349176,0,0,1.005,0,0,0.385,0.37
264443,0,0,0.67,0,0,0.005,0.005
479053,0,0,0.605,0,0,0.21,0.2
624989,0,0,1.825,0,0,0.575,0.58
821720,0,0,2.32,0,0,1.29,1.08
530883,0,0,0.855,0,0,0.515,0.595
526927,0,0,1.41,0,0,0.2,0.21
51376,0,0,0,0,0,0,0
280329,0,0,0.35,0,0,0.07,0.06
418017,0,0,0.8,0,0,0.4,0.445
17698,0,0,0,0,0,0,0
.91,0,0,1.135,0.945
56395,0,0,0,0,0,0.025,0
603974,0,0,1.51,0,0,0.47,0.485
