size,StraightInsertionSort,ShellSort,StraightSelectionSort,BubbleSort,HeapSort,QuickSort,Merge sort - DLL
1882,6,0,9,27,0,0,0
4693,33,4,39,183,1,0,1
3276,18,2,18,93,1,0,0
9290,123,19,189,899,4,3,3
1528,3,0,8,20,0,0,0
4170,33,4,35,165,1,1,1
1817,5,0,8,29,0,0,0
3970,25,3,36,158,1,1,1
2031,6,1,12,36,1,0,0
5297,52,8,60,281,2,1,1
8543,98,23,125,750,3,2,2
3565,20,2,23,105,1,0,0
8111,81,12,104,610,3,1,1
834,1,0,1,6,0,0,0
2388,9,1,14,44,1,0,0
1649,4,1,7,18,0,0,0
1661,4,1,7,21,0,0,0
3891,25,3,29,120,1,0,0
2460,10,2,11,44,0,0,0
1519,4,0,6,17,0,0,0
9122,106,17,134,820,3,2,2
119,0,0,0,0,0,0,0
9152,119,19,145,954,4,2,2
1335,3,0,4,15,0,0,0
6918,67,10,92,557,3,2,2
7155,84,13,105,588,5,1,2
321,0,0,0,0,0,0,0
5262,53,7,67,330,2,1,1
5773,51,8,57,316,2,1,1
4692,35,6,58,212,2,1,1
2816,14,2,14,63,1,0,0
7943,86,14,110,652,4,2,2
7871,79,11,97,560,3,1,1
2649,12,2,13,54,0,0,0
394,0,0,0,1,0,0,0
2107,7,1,11,37,0,0,0
6113,54,8,64,321,2,1,1
10000,125,18,172,999,6,3,3
4707,33,6,63,218,2,1,1
2009,6,1,9,33,0,0,0
1640,5,0,7,21,0,0,0
1778,4,1,8,30,0,0,0
9542,141,19,183,916,4,2,2
1854,5,1,9,26,0,0,0
116,0,0,0,0,0,0,0
457,0,0,0,1,0,0,0
6894,66,9,80,429,2,1,2
6613,60,9,71,388,2,1,1
8591,90,14,118,695,4,2,2
8468,113,14,120,679,4,2,1
618,0,0,0,3,0,0,0
2639,13,2,16,61,1,0,0
619,0,0,0,2,0,0,0
2853,14,2,19,64,1,0,0
6989,65,9,82,447,4,2,2
6975,74,12,93,473,2,1,1
7477,73,11,88,498,3,1,1
3584,21,2,20,99,1,0,0
658,1,0,1,3,0,0,0
7443,74,10,87,480,2,1,1
743,1,0,1,4,0,0,0
4046,31,6,33,123,1,0,0
5280,36,5,46,230,2,1,1
8476,88,15,120,656,3,1,2
1407,3,0,5,16,0,0,0
6956,60,8,75,456,2,1,1
5657,42,7,53,260,2,1,1
3460,20,2,21,90,1,0,0
2066,7,1,11,28,0,0,0
8811,94,14,123,790,5,2,2
606,0,0,1,3,0,0,0
9594,146,22,160,973,4,2,2
2390,9,1,11,43,0,0,0
7499,79,12,89,506,3,1,1
975,1,0,2,8,0,0,0
8270,86,13,107,617,3,1,2
3845,31,3,24,115,1,0,0
1704,5,0,7,22,0,0,0
1314,2,0,4,14,0,0,0
8486,93,14,113,677,4,2,3
9311,141,20,151,887,6,4,2
7363,91,14,105,562,3,1,1
7554,80,14,113,594,3,1,1
4517,29,4,36,180,1,1,1
2598,11,1,13,53,0,0,0
3801,20,3,24,112,1,0,0
7454,74,10,88,482,3,1,1
8473,86,13,114,654,3,2,1
2555,11,2,12,48,0,0,0
4359,27,4,33,156,1,0,0
4980,32,4,42,210,1,1,1
4544,41,5,37,160,1,0,0
304,0,0,0,0,0,0,0
8280,88,14,112,656,3,2,2
6382,65,8,82,401,2,1,1
9851,113,17,172,1090,4,2,2
6449,55,9,74,361,2,1,1
1248,2,0,3,12,0,0,0
7393,81,10,87,509,3,1,1
1812,5,1,7,23,0,0,0
