size,StraightInsertionSort,ShellSort,StraightSelectionSort,BubbleSort,HeapSort,QuickSort,Merge sort - DLL
1882,11,2,9,29,0,0,0
4693,53,7,51,134,2,0,0
3276,28,3,22,79,2,0,0
9290,184,31,189,512,5,0,1
1528,4,0,6,17,0,0,0
4170,37,5,33,107,2,0,0
1817,9,1,8,19,0,0,0
3970,36,4,30,91,2,0,0
2031,12,1,10,24,1,0,0
5297,59,8,53,158,2,0,0
8543,154,26,156,442,4,0,0
3565,32,4,27,71,1,0,0
8111,124,18,132,398,6,1,1
834,1,0,2,5,0,0,0
2388,14,2,13,39,1,0,0
1649,7,1,8,19,0,0,0
1661,6,1,7,20,0,0,0
3891,37,5,32,97,2,0,0
2460,14,2,13,38,1,0,0
1519,6,1,6,16,0,0,0
9122,175,28,183,511,5,1,0
119,0,0,0,0,0,0,0
9152,172,24,162,544,5,0,0
1335,4,0,5,13,0,0,0
6918,96,13,89,276,4,0,0
7155,101,13,90,290,5,1,1
321,1,0,0,0,0,0,0
5262,116,9,68,189,2,0,0
5773,71,13,74,204,5,0,0
4692,53,8,48,145,2,0,0
2816,21,2,16,52,1,0,0
7943,143,18,122,360,4,0,0
7871,124,18,117,360,4,0,0
2649,20,2,13,46,1,0,0
394,0,0,0,1,0,0,0
2107,11,1,10,28,1,0,0
6113,74,10,76,239,3,0,0
10000,212,31,223,640,5,1,1
4707,46,7,43,135,2,0,0
2009,10,1,8,24,0,0,0
1640,8,1,7,16,0,0,0
1778,8,1,8,20,0,0,0
9542,179,24,163,500,5,1,0
1854,9,1,8,19,0,0,0
116,0,0,0,0,0,0,0
457,0,0,0,1,0,0,0
6894,101,20,88,261,4,0,0
6613,88,12,78,250,3,0,0
8591,167,28,161,429,5,0,0
8468,134,19,139,396,4,0,0
618,1,0,1,3,0,0,0
2639,25,3,19,43,1,0,0
619,1,0,1,3,0,0,0
2853,21,3,16,46,1,0,0
6989,100,13,110,350,4,1,0
6975,113,14,108,334,5,0,0
7477,130,21,129,346,4,0,0
3584,29,3,24,76,1,0,0
658,1,0,1,3,0,0,0
7443,117,15,100,323,4,1,1
743,1,0,1,5,0,0,0
4046,50,5,33,104,2,0,0
5280,62,8,52,162,3,0,0
8476,137,19,138,400,4,0,0
1407,5,0,5,13,0,0,0
6956,109,16,105,310,4,0,0
5657,103,13,77,231,4,0,0
3460,29,3,26,79,2,0,0
2066,11,1,11,27,1,0,0
8811,169,24,170,451,4,0,0
606,0,0,0,3,0,0,0
9594,183,25,167,574,8,1,1
2390,15,2,11,39,1,0,0
7499,137,17,124,368,4,1,0
975,2,0,3,10,0,0,0
8270,148,20,127,388,4,0,0
3845,33,4,28,82,2,0,0
1704,7,1,8,17,0,0,0
1314,4,0,4,13,0,0,0
8486,137,24,132,393,8,0,1
9311,163,23,185,558,5,1,0
7363,112,16,108,321,4,0,0
7554,121,16,104,310,4,0,0
4517,43,6,44,117,2,0,0
2598,17,2,13,41,1,0,0
3801,31,4,29,90,1,0,0
7454,111,15,105,313,4,0,0
8473,140,21,130,441,5,1,1
2555,15,2,15,41,1,0,0
4359,43,6,42,135,2,0,0
4980,62,8,61,154,2,0,0
4544,50,7,40,123,2,0,0
304,0,0,0,0,0,0,0
8280,138,19,131,398,4,0,1
6382,82,10,74,230,3,0,1
9851,221,32,203,560,5,1,1
6449,83,12,82,226,3,0,0
1248,4,0,4,11,0,0,0
7393,105,16,101,302,4,0,0
1812,8,1,9,18,0,0,0
