size,addfirst(ms),addlast(ms),addrandpos(ms),removefist(ms),removelast(ms),removerandpos(ms),getrandpos(ms)
884391,0,0,0.005,0,2.45,0,0
609957,0,0,1.04,0,2.4,1,1.025
231835,0,0,0.155,0,0.05,0.13,0.96
569566,0,0,1.025,0,2.45,0.75,1.02
526577,0,0,1.915,0,2,1.17,1.69
174231,0,0,0.03,0,0.05,0,0.04
636092,0,0,2.05,0,2.05,1.39,2.02
379332,0,0,0,0,1.1,0,0
994601,0,0,3.22,0,4.05,3.095,3.695
484453,0,0,1.015,0,1.1,1.005,1
351613,0,0,1.05,0,1.15,1,1
212214,0,0,0.14,0,0.05,0.005,0.05
869764,0,0,2.175,0,3.1,2.06,2.26
827708,0,0,0,0,3.8,0,0
153997,0,0,0.045,0,0,0,0.015
634529,0,0,2.54,0,3,1.99,2.08
120561,0,0,0,0,0,0,0
800829,0,0,1.53,0,3.95,1.135,1.59
487243,0,0,0,0,2.05,0,0
233612,0,0,0.03,0,1,0.025,0.015
420752,0,0,0,0,2.05,0,0
985149,0,0,2.22,0,4.25,2.015,2.025
660177,0,0,1.02,0,3.1,1,1.08
89399,0,0,0,0,0,0,0
184717,0,0,0.01,0,0.05,0,0
838671,0,0,2.205,0,3.3,2.03,2.115
353919,0,0,0.15,0,1,0.045,0.145
971861,0,0,2.06,0,4.3,2.035,2.015
373946,0,0,0.575,0,1,0.09,0.515
492983,0,0,2.025,0,2,1.365,1.425
699110,0,0,2.02,0,3.05,1.18,2.025
289123,0,0,0.135,0,1,0.005,0
193091,0,0,0.005,0,0.05,0,0
546049,0,0,0.005,0,2.05,0.005,0
367193,0,0,1.015,0,1,1.005,1
19053,0,0,0,0,0,0,0
147099,0,0,0.015,0,0,0,0.005
727195,0,0,2.295,0,3,2.335,2.84
208849,0,0,0.13,0,0.2,0.02,0.015
319810,0,0,0.065,0,1,0.02,0.04
831054,0,0,0.01,0,3.85,0,0
362652,0,0,0,0,1.05,0,0
715178,0,0,3.05,0,3.05,2.175,3.04
275545,0,0,0,0,1,0,0
32924,0,0,0,0,0,0,0
213448,0,0,0,0,0.35,0,0
599862,0,0,1.785,0,2.15,1.06,2.02
596303,0,0,2.3,0,3,1.995,2.03
796148,0,0,0.025,0,3.2,0.015,0.005
840709,0,0,4.12,0,3.9,3.26,4.11
602903,0,0,1.18,0,2.2,1.06,2.05
697265,0,0,0,0,3.45,0,0
290753,0,0,0.165,0,1.2,0.185,0.155
583413,0,0,0.055,0,2.6,0.02,0.005
210036,0,0,0,0,0.15,0,0
270654,0,0,0,0,1,0,0
855989,0,0,4.765,0,4.1,3.935,4.47
360306,0,0,0.055,0,1,0,0
292980,0,0,1.065,0,1,1.025,1.165
993042,0,0,2.09,0,4.5,2.015,2.015
287421,0,0,0.005,0,1,0,0
596474,0,0,1.125,0,2,1.005,1.1
674284,0,0,1.02,0,3,1,1
125213,0,0,0.005,0,0,0,0.005
971434,0,0,2.295,0,4.75,2.035,2.97
200469,0,0,0,0,0.15,0,0
507895,0,0,1.03,0,2,0.21,1.01
262031,0,0,0.08,0,1,0.03,0.02
961907,0,0,1,0,4.25,0.21,1.015
127980,0,0,0,0,0,0,0
467741,0,0,1.045,0,2,1.02,1.065
542215,0,0,1.12,0,2,1,1.06
949129,0,0,0.05,0,4.1,0.035,0.165
402570,0,0,1.45,0,1.75,1.15,1.135
455423,0,0,0,0,2,0,0
559256,0,0,0.195,0,2.05,0.185,0.305
297410,0,0,1.01,0,1,0.175,1.005
430781,0,0,1.025,0,1.7,1,1.02
499621,0,0,2.05,0,2,1.06,2.01
223849,0,0,0.015,0,0.05,0,0.005
380263,0,0,1.01,0,1,0.87,1.08
628646,0,0,3.54,0,3,2.53,3.145
263829,0,0,0,0,1,0,0
166505,0,0,0.03,0,0.05,0.005,0.03
806181,0,0,3.53,0,4,3,3.32
423998,0,0,0,0,2.25,0,0
515349,0,0,0,0,2.7,0,0
514410,0,0,1.255,0,2.05,1.015,1.03
727990,0,0,2.035,0,3.05,1.195,2.04
565481,0,0,2.03,0,2.1,1.545,2.025
893025,0,0,0,0,4,0,0
674324,0,0,2.035,0,3.1,1.405,2.17
805744,0,0,4.225,0,3.8,3.025,4.04
77307,0,0,0,0,0,0,0
993727,0,0,5.87,0,4.85,4.09,6.135
798529,0,0,3.71,0,3.7,3.02,3.745
849181,0,0,3.24,0,4.3,2.595,3.82
959811,0,0,7.61,0,6.25,5.165,6.86
904821,0,0,6.045,0,4.25,4.16,5.31
893133,0,0,2.23,0,5.4,1.55,1.37
